Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
Public Function,"$.event.special.bsTransitionEnd.handle",,2,,1
Public Function,"$.fn.affix.noConflict",,1,,0
Public Function,"$.fn.alert.noConflict",,1,,0
Public Function,"$.fn.button.noConflict",,1,,0
Public Function,"$.fn.carousel.noConflict",,1,,0
Public Function,"$.fn.collapse.noConflict",,1,,0
Public Function,"$.fn.dropdown.noConflict",,1,,0
Public Function,"$.fn.emulateTransitionEnd",,4,,0
Unnamed Function,"$.fn.emulateTransitionEnd.(unnamed_function_2)",,1,,0
Function,"$.fn.emulateTransitionEnd.callback",,2,,1
Public Function,"$.fn.modal.noConflict",,1,,0
Public Function,"$.fn.popover.noConflict",,1,,0
Public Function,"$.fn.scrollspy.noConflict",,1,,0
Public Function,"$.fn.tab.noConflict",,1,,0
Public Function,"$.fn.tooltip.noConflict",,1,,0
Unnamed Function,"(unnamed_function_1)",,12,,0
Unnamed Function,"(unnamed_function_1)",,10,,0
Unnamed Function,"(unnamed_function_1).(unnamed_function_3)",,4,,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_3)",,3,,0
Function,"(unnamed_function_1).b",,3,,2
Function,"(unnamed_function_1).transitionEnd",,3,,2
Unnamed Function,"(unnamed_function_10)",,44,,0
Unnamed Function,"(unnamed_function_10)",,39,,0
Unnamed Function,"(unnamed_function_10).(unnamed_function_15)",,4,,1
Unnamed Function,"(unnamed_function_10).(unnamed_function_15)",,2,,1
Unnamed Function,"(unnamed_function_10).(unnamed_function_16)",,2,,0
Unnamed Function,"(unnamed_function_10).(unnamed_function_16)",,2,,0
Unnamed Function,"(unnamed_function_10).(unnamed_function_16).(unnamed_function_17)",,1,,0
Unnamed Function,"(unnamed_function_10).(unnamed_function_16).(unnamed_function_17)",,1,,0
Class Function,"(unnamed_function_10).Carousel",0,1,0,0
Function,"(unnamed_function_10).Plugin",,7,,0
Unnamed Function,"(unnamed_function_10).Plugin.(unnamed_function_14)",,6,,3
Function,"(unnamed_function_10).b",,5,,0
Unnamed Function,"(unnamed_function_10).b.(unnamed_function_11)",,4,,0
Class Function,"(unnamed_function_10).c",0,1,0,0
Unnamed Function,"(unnamed_function_18)",,31,,0
Unnamed Function,"(unnamed_function_18)",,24,,0
Unnamed Function,"(unnamed_function_18).(unnamed_function_20)",,5,,2
Unnamed Function,"(unnamed_function_18).(unnamed_function_20)",,3,,0
Class Function,"(unnamed_function_18).Collapse",0,3,0,1
Function,"(unnamed_function_18).Plugin",,5,,0
Unnamed Function,"(unnamed_function_18).Plugin.(unnamed_function_19)",,4,,1
Function,"(unnamed_function_18).b",,2,,0
Unnamed Function,"(unnamed_function_18).b.(unnamed_function_19)",,1,,0
Class Function,"(unnamed_function_18).c",0,1,0,0
Unnamed Function,"(unnamed_function_21)",,30,,0
Unnamed Function,"(unnamed_function_21)",,19,,0
Unnamed Function,"(unnamed_function_21).(unnamed_function_24)",,1,,0
Unnamed Function,"(unnamed_function_21).(unnamed_function_24)",,1,,0
Class Function,"(unnamed_function_21).Dropdown",0,1,0,0
Function,"(unnamed_function_21).Plugin",,4,,0
Unnamed Function,"(unnamed_function_21).Plugin.(unnamed_function_23)",,3,,1
Function,"(unnamed_function_21).b",,2,,0
Unnamed Function,"(unnamed_function_21).b.(unnamed_function_22)",,1,,0
Function,"(unnamed_function_21).c",,2,,0
Function,"(unnamed_function_21).clearMenus",,5,,1
Unnamed Function,"(unnamed_function_21).clearMenus.(unnamed_function_22)",,3,,1
Function,"(unnamed_function_21).d",,2,,0
Unnamed Function,"(unnamed_function_21).d.(unnamed_function_23)",,1,,0
Class Function,"(unnamed_function_21).g",0,1,0,0
Function,"(unnamed_function_21).getParent",,3,,1
Unnamed Function,"(unnamed_function_25)",,58,,0
Unnamed Function,"(unnamed_function_25)",,41,,0
Unnamed Function,"(unnamed_function_25).(unnamed_function_34)",,6,,1
Unnamed Function,"(unnamed_function_25).(unnamed_function_34)",,4,,0
Unnamed Function,"(unnamed_function_25).(unnamed_function_34).(unnamed_function_35)",,3,,1
Unnamed Function,"(unnamed_function_25).(unnamed_function_34).(unnamed_function_35)",,2,,0
Unnamed Function,"(unnamed_function_25).(unnamed_function_34).(unnamed_function_35).(unnamed_function_36)",,1,,0
Unnamed Function,"(unnamed_function_25).(unnamed_function_34).(unnamed_function_35).(unnamed_function_36)",,1,,0
Class Function,"(unnamed_function_25).Modal",1,3,1,1
Unnamed Function,"(unnamed_function_25).Modal.(unnamed_function_26)",,1,,0
Function,"(unnamed_function_25).Plugin",,5,,0
Unnamed Function,"(unnamed_function_25).Plugin.(unnamed_function_33)",,4,,2
Function,"(unnamed_function_25).b",,3,,0
Unnamed Function,"(unnamed_function_25).b.(unnamed_function_26)",,2,,0
Class Function,"(unnamed_function_25).c",1,2,1,0
Unnamed Function,"(unnamed_function_25).c.(unnamed_function_27)",,1,,0
Unnamed Function,"(unnamed_function_37)",,101,,0
Unnamed Function,"(unnamed_function_37)",,80,,0
Function,"(unnamed_function_37).Plugin",,5,,0
Unnamed Function,"(unnamed_function_37).Plugin.(unnamed_function_41)",,4,,1
Class Function,"(unnamed_function_37).Tooltip",0,1,0,0
Function,"(unnamed_function_37).b",,2,,0
Unnamed Function,"(unnamed_function_37).b.(unnamed_function_38)",,1,,0
Class Function,"(unnamed_function_37).c",0,1,0,0
Unnamed Function,"(unnamed_function_4)",,15,,0
Unnamed Function,"(unnamed_function_4)",,9,,0
Class Function,"(unnamed_function_4).Alert",0,1,0,0
Function,"(unnamed_function_4).Plugin",,4,,0
Unnamed Function,"(unnamed_function_4).Plugin.(unnamed_function_5)",,3,,1
Function,"(unnamed_function_4).b",,2,,0
Unnamed Function,"(unnamed_function_4).b.(unnamed_function_5)",,1,,0
Class Function,"(unnamed_function_4).d",0,1,0,0
Unnamed Function,"(unnamed_function_42)",,21,,1
Unnamed Function,"(unnamed_function_42)",,16,,1
Function,"(unnamed_function_42).Plugin",,5,,0
Unnamed Function,"(unnamed_function_42).Plugin.(unnamed_function_43)",,4,,1
Class Function,"(unnamed_function_42).Popover",0,1,0,0
Function,"(unnamed_function_42).b",,2,,0
Unnamed Function,"(unnamed_function_42).b.(unnamed_function_43)",,1,,0
Class Function,"(unnamed_function_42).c",0,1,0,0
Unnamed Function,"(unnamed_function_44)",,23,,0
Unnamed Function,"(unnamed_function_44)",,18,,0
Unnamed Function,"(unnamed_function_44).(unnamed_function_49)",,2,,0
Unnamed Function,"(unnamed_function_44).(unnamed_function_49)",,2,,0
Unnamed Function,"(unnamed_function_44).(unnamed_function_49).(unnamed_function_50)",,1,,0
Unnamed Function,"(unnamed_function_44).(unnamed_function_49).(unnamed_function_50)",,1,,0
Function,"(unnamed_function_44).Plugin",,4,,0
Unnamed Function,"(unnamed_function_44).Plugin.(unnamed_function_48)",,3,,1
Class Function,"(unnamed_function_44).ScrollSpy",0,2,0,0
Class Function,"(unnamed_function_44).b",0,2,0,0
Function,"(unnamed_function_44).c",,2,,0
Unnamed Function,"(unnamed_function_44).c.(unnamed_function_45)",,1,,0
Unnamed Function,"(unnamed_function_51)",,18,,0
Unnamed Function,"(unnamed_function_51)",,14,,0
Unnamed Function,"(unnamed_function_51).(unnamed_function_54)",,1,,0
Unnamed Function,"(unnamed_function_51).(unnamed_function_54)",,1,,0
Function,"(unnamed_function_51).Plugin",,4,,0
Unnamed Function,"(unnamed_function_51).Plugin.(unnamed_function_53)",,3,,1
Class Function,"(unnamed_function_51).Tab",0,1,0,0
Function,"(unnamed_function_51).b",,2,,0
Unnamed Function,"(unnamed_function_51).b.(unnamed_function_52)",,1,,0
Class Function,"(unnamed_function_51).c",0,1,0,0
Unnamed Function,"(unnamed_function_55)",,28,,0
Unnamed Function,"(unnamed_function_55)",,18,,0
Unnamed Function,"(unnamed_function_55).(unnamed_function_57)",,4,,0
Unnamed Function,"(unnamed_function_55).(unnamed_function_57)",,2,,0
Unnamed Function,"(unnamed_function_55).(unnamed_function_57).(unnamed_function_58)",,3,,1
Unnamed Function,"(unnamed_function_55).(unnamed_function_57).(unnamed_function_58)",,1,,0
Class Function,"(unnamed_function_55).Affix",0,1,0,0
Function,"(unnamed_function_55).Plugin",,4,,0
Unnamed Function,"(unnamed_function_55).Plugin.(unnamed_function_56)",,3,,1
Function,"(unnamed_function_55).b",,2,,0
Unnamed Function,"(unnamed_function_55).b.(unnamed_function_56)",,1,,0
Class Function,"(unnamed_function_55).c",0,1,0,0
Unnamed Function,"(unnamed_function_6)",,23,,0
Unnamed Function,"(unnamed_function_6)",,15,,0
Unnamed Function,"(unnamed_function_6).(unnamed_function_9)",,2,,1
Unnamed Function,"(unnamed_function_6).(unnamed_function_9)",,1,,0
Class Function,"(unnamed_function_6).Button",0,1,0,0
Function,"(unnamed_function_6).Plugin",,5,,0
Unnamed Function,"(unnamed_function_6).Plugin.(unnamed_function_8)",,4,,2
Function,"(unnamed_function_6).b",,3,,0
Unnamed Function,"(unnamed_function_6).b.(unnamed_function_7)",,2,,0
Class Function,"(unnamed_function_6).c",0,1,0,0
File,"AbstractDAO.java",1,6,1,0
File,"AbstractEntity.java",2,2,1,1
Function,"Affix.prototype.checkPosition",,14,,1
Function,"Affix.prototype.checkPositionWithEventLoop",,1,,0
Function,"Affix.prototype.getPinnedOffset",,2,,1
Function,"Alert.prototype.close",,8,,1
Function,"Alert.prototype.close.removeElement",,1,,0
File,"AutorizadorInterceptor.java",3,3,3,1
Function,"Button.prototype.setState",,7,,1
Unnamed Function,"Button.prototype.setState.(unnamed_function_7)",,3,,2
Function,"Button.prototype.toggle",,6,,3
File,"Cardapio.java",1,17,1,3
File,"CardapioController.java",1,8,1,1
File,"CardapioControllerProduct.java",1,6,1,0
File,"CardapioDAO.java",1,3,1,0
File,"CardapioService.java",1,18,1,2
Function,"Carousel.prototype.cycle",,1,,0
Function,"Carousel.prototype.getItemIndex",,1,,0
Function,"Carousel.prototype.keydown",,3,,1
Function,"Carousel.prototype.next",,2,,1
Function,"Carousel.prototype.pause",,2,,1
Function,"Carousel.prototype.prev",,2,,1
Function,"Carousel.prototype.slide",,11,,2
Unnamed Function,"Carousel.prototype.slide.(unnamed_function_12)",,2,,0
Unnamed Function,"Carousel.prototype.slide.(unnamed_function_12).(unnamed_function_13)",,1,,0
Function,"Carousel.prototype.to",,6,,1
Unnamed Function,"Carousel.prototype.to.(unnamed_function_11)",,1,,0
File,"Categoria.java",1,8,1,0
File,"CategoriaController.java",1,7,3,2
File,"CategoriaDAO.java",1,3,1,0
File,"CategoriaService.java",1,14,1,2
File,"Cliente.java",1,4,1,0
File,"ClienteController.java",1,12,3,2
File,"ClienteDAO.java",1,2,1,0
File,"ClienteService.java",1,9,1,2
Function,"Collapse.prototype.dimension",,2,,0
Function,"Collapse.prototype.hide",,5,,1
Function,"Collapse.prototype.hide.complete",,1,,0
Function,"Collapse.prototype.show",,7,,2
Function,"Collapse.prototype.show.complete",,1,,0
Function,"Collapse.prototype.toggle",,2,,0
File,"Delivery.java",1,4,1,0
File,"DeliveryController.java",1,13,1,1
File,"DeliveryControllerProduct.java",1,7,1,0
File,"DeliveryControllerProductProduct.java",1,8,1,1
File,"DeliveryControllerProductProduct2.java",1,11,1,2
File,"DeliveryDAO.java",1,1,1,0
File,"DeliveryService.java",1,5,1,0
Function,"Dropdown.prototype.keydown",,9,,2
Function,"Dropdown.prototype.toggle",,5,,2
File,"Endereco.java",1,10,1,0
File,"Funcionario.java",1,12,1,1
File,"FuncionarioController.java",1,9,3,2
File,"FuncionarioDAO.java",1,2,1,0
File,"FuncionarioService.java",1,9,1,2
File,"Gerente.java",0,0,0,0
File,"GerenteDAO.java",1,1,1,0
File,"GerenteService.java",1,5,1,0
File,"ItemCardapio.java",1,17,1,1
File,"ItemCardapioDAO.java",1,2,1,0
File,"ItemCardapioService.java",1,6,1,0
File,"JPAUtil.java",0,0,0,0
File,"LayoutController.java",1,2,1,0
File,"Logar.java",0,0,0,0
