Kind,Name,PercentLackOfCohesion
Public Class,"proj.unipe.autorizador.AutorizadorInterceptor",0
Public Class,"proj.unipe.bd.JPAUtil",0
Public Class,"proj.unipe.controllers.CardapioController",50
Public Class,"proj.unipe.controllers.CategoriaController",40
Public Class,"proj.unipe.controllers.ClienteController",37
Public Class,"proj.unipe.controllers.DeliveryController",75
Public Class,"proj.unipe.controllers.DeliveryControllerProduct",42
Public Class,"proj.unipe.controllers.DeliveryControllerProductProduct",0
Public Class,"proj.unipe.controllers.DeliveryControllerProductProduct2",35
Public Class,"proj.unipe.controllers.FuncionarioController",19
Public Class,"proj.unipe.controllers.LayoutController",0
Public Interface,"proj.unipe.controllers.Logar",0
Public Class,"proj.unipe.controllers.LoginController",100
Public Class,"proj.unipe.controllers.MesaController",42
Public Interface,"proj.unipe.controllers.Pedido",0
Public Class,"proj.unipe.controllers.PedidoController",73
Public Class,"proj.unipe.controllers.PedidoControllerProduct",64
Public Class,"proj.unipe.controllers.ReservaControllerProduct",50
Public Generic Class,"proj.unipe.daos.AbstractDAO",25
TypeVariable,"proj.unipe.daos.AbstractDAO.T",0
Public Class,"proj.unipe.daos.CardapioDAO",0
Public Class,"proj.unipe.daos.CategoriaDAO",83
Public Class,"proj.unipe.daos.ClienteDAO",100
Public Class,"proj.unipe.daos.DeliveryDAO",100
Public Class,"proj.unipe.daos.FuncionarioDAO",75
Public Class,"proj.unipe.daos.GerenteDAO",100
Public Class,"proj.unipe.daos.ItemCardapioDAO",100
Public Class,"proj.unipe.daos.MesaDAO",66
Public Class,"proj.unipe.daos.PedidoDAO",90
Public Class,"proj.unipe.daos.ReservaDAO",83
Public Class,"proj.unipe.daos.TradicionalDAO",0
Public Class,"proj.unipe.daos.UsuarioDAO",0
Public Abstract Class,"proj.unipe.entities.AbstractEntity",0
Public Class,"proj.unipe.entities.Cardapio",84
Public Class,"proj.unipe.entities.Categoria",75
Public Class,"proj.unipe.entities.Cliente",50
Public Class,"proj.unipe.entities.Delivery",50
Public Class,"proj.unipe.entities.Endereco",80
Public Class,"proj.unipe.entities.Funcionario",81
Public Class,"proj.unipe.entities.Gerente",0
Public Class,"proj.unipe.entities.ItemCardapio",82
Public Class,"proj.unipe.entities.Mesa",83
Public Class,"proj.unipe.entities.Pedido",84
Public Class,"proj.unipe.entities.Reserva",87
Public Class,"proj.unipe.entities.Tradicional",0
Public Class,"proj.unipe.entities.Usuario",85
Public Class,"proj.unipe.services.CardapioControllerProduct",50
Public Class,"proj.unipe.services.CardapioService",68
Public Class,"proj.unipe.services.CategoriaService",30
Public Class,"proj.unipe.services.ClienteService",14
Public Class,"proj.unipe.services.DeliveryService",0
Public Class,"proj.unipe.services.FuncionarioService",14
Public Class,"proj.unipe.services.GerenteService",0
Public Class,"proj.unipe.services.ItemCardapioService",0
Public Class,"proj.unipe.services.MesaService",12
Public Class,"proj.unipe.services.PedidoService",0
Public Class,"proj.unipe.services.ReservaController",33
Public Class,"proj.unipe.services.ReservaService",70
Public Class,"proj.unipe.services.TradicionalService",0
Public Class,"proj.unipe.services.UsuarioService",0
