Kind,Name,CountLineCode,CountLineComment,CountDeclInstanceMethod,CountDeclClass
Public Function,"$.event.special.bsTransitionEnd.handle",3,0,,
Public Function,"$.fn.affix.noConflict",4,0,,
Public Function,"$.fn.alert.noConflict",4,0,,
Public Function,"$.fn.button.noConflict",4,0,,
Public Function,"$.fn.carousel.noConflict",4,0,,
Public Function,"$.fn.collapse.noConflict",4,0,,
Public Function,"$.fn.dropdown.noConflict",4,0,,
Public Function,"$.fn.emulateTransitionEnd",8,0,,
Unnamed Function,"$.fn.emulateTransitionEnd.(unnamed_function_2)",1,0,,
Function,"$.fn.emulateTransitionEnd.callback",1,0,,
Public Function,"$.fn.modal.noConflict",4,0,,
Public Function,"$.fn.popover.noConflict",4,0,,
Public Function,"$.fn.scrollspy.noConflict",4,0,,
Public Function,"$.fn.tab.noConflict",4,0,,
Public Function,"$.fn.tooltip.noConflict",4,0,,
Unnamed Function,"(unnamed_function_1)",37,4,,
Unnamed Function,"(unnamed_function_1)",1,0,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_3)",10,0,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_3)",1,0,,
Function,"(unnamed_function_1).b",1,0,,
Function,"(unnamed_function_1).transitionEnd",15,1,,
Unnamed Function,"(unnamed_function_10)",158,12,,
Unnamed Function,"(unnamed_function_10)",1,0,,
Unnamed Function,"(unnamed_function_10).(unnamed_function_15)",13,1,,
Unnamed Function,"(unnamed_function_10).(unnamed_function_15)",1,0,,
Unnamed Function,"(unnamed_function_10).(unnamed_function_16)",6,0,,
Unnamed Function,"(unnamed_function_10).(unnamed_function_16)",1,0,,
Unnamed Function,"(unnamed_function_10).(unnamed_function_16).(unnamed_function_17)",4,0,,
Unnamed Function,"(unnamed_function_10).(unnamed_function_16).(unnamed_function_17)",1,0,,
Class Function,"(unnamed_function_10).Carousel",13,0,8,
Function,"(unnamed_function_10).Plugin",12,0,,
Unnamed Function,"(unnamed_function_10).Plugin.(unnamed_function_14)",10,0,,
Function,"(unnamed_function_10).b",1,0,,
Unnamed Function,"(unnamed_function_10).b.(unnamed_function_11)",1,0,,
Class Function,"(unnamed_function_10).c",1,0,8,
Unnamed Function,"(unnamed_function_18)",111,9,,
Unnamed Function,"(unnamed_function_18)",1,0,,
Unnamed Function,"(unnamed_function_18).(unnamed_function_20)",16,1,,
Unnamed Function,"(unnamed_function_18).(unnamed_function_20)",1,0,,
Class Function,"(unnamed_function_18).Collapse",7,0,4,
Function,"(unnamed_function_18).Plugin",10,0,,
Unnamed Function,"(unnamed_function_18).Plugin.(unnamed_function_19)",8,0,,
Function,"(unnamed_function_18).b",1,0,,
Unnamed Function,"(unnamed_function_18).b.(unnamed_function_19)",1,0,,
Class Function,"(unnamed_function_18).c",1,0,4,
Unnamed Function,"(unnamed_function_21)",90,12,,
Unnamed Function,"(unnamed_function_21)",1,0,,
Unnamed Function,"(unnamed_function_21).(unnamed_function_24)",1,0,,
Unnamed Function,"(unnamed_function_21).(unnamed_function_24)",1,0,,
Class Function,"(unnamed_function_21).Dropdown",3,0,2,
Function,"(unnamed_function_21).Plugin",8,0,,
Unnamed Function,"(unnamed_function_21).Plugin.(unnamed_function_23)",6,0,,
Function,"(unnamed_function_21).b",1,0,,
Unnamed Function,"(unnamed_function_21).b.(unnamed_function_22)",1,0,,
Function,"(unnamed_function_21).c",1,0,,
Function,"(unnamed_function_21).clearMenus",12,0,,
Unnamed Function,"(unnamed_function_21).clearMenus.(unnamed_function_22)",8,0,,
Function,"(unnamed_function_21).d",1,0,,
Unnamed Function,"(unnamed_function_21).d.(unnamed_function_23)",1,0,,
Class Function,"(unnamed_function_21).g",1,0,2,
Function,"(unnamed_function_21).getParent",9,1,,
Unnamed Function,"(unnamed_function_25)",198,16,,
Unnamed Function,"(unnamed_function_25)",1,0,,
Unnamed Function,"(unnamed_function_25).(unnamed_function_34)",14,2,,
Unnamed Function,"(unnamed_function_25).(unnamed_function_34)",1,0,,
Unnamed Function,"(unnamed_function_25).(unnamed_function_34).(unnamed_function_35)",6,1,,
Unnamed Function,"(unnamed_function_25).(unnamed_function_34).(unnamed_function_35)",1,0,,
Unnamed Function,"(unnamed_function_25).(unnamed_function_34).(unnamed_function_35).(unnamed_function_36)",2,0,,
Unnamed Function,"(unnamed_function_25).(unnamed_function_34).(unnamed_function_35).(unnamed_function_36)",1,0,,
