Kind,Name,CountClassCoupled
Public Class,"proj.unipe.autorizador.AutorizadorInterceptor",2
Public Class,"proj.unipe.bd.JPAUtil",0
Public Class,"proj.unipe.controllers.CardapioController",10
Public Class,"proj.unipe.controllers.CategoriaController",8
Public Class,"proj.unipe.controllers.ClienteController",9
Public Class,"proj.unipe.controllers.DeliveryController",12
Public Class,"proj.unipe.controllers.DeliveryControllerProduct",11
Public Class,"proj.unipe.controllers.DeliveryControllerProductProduct",13
Public Class,"proj.unipe.controllers.DeliveryControllerProductProduct2",12
Public Class,"proj.unipe.controllers.FuncionarioController",8
Public Class,"proj.unipe.controllers.LayoutController",1
Public Interface,"proj.unipe.controllers.Logar",2
Public Class,"proj.unipe.controllers.LoginController",4
Public Class,"proj.unipe.controllers.MesaController",10
Public Interface,"proj.unipe.controllers.Pedido",3
Public Class,"proj.unipe.controllers.PedidoController",14
Public Class,"proj.unipe.controllers.PedidoControllerProduct",12
Public Class,"proj.unipe.controllers.ReservaControllerProduct",8
Public Generic Class,"proj.unipe.daos.AbstractDAO",4
TypeVariable,"proj.unipe.daos.AbstractDAO.T",0
Public Class,"proj.unipe.daos.CardapioDAO",5
Public Class,"proj.unipe.daos.CategoriaDAO",4
Public Class,"proj.unipe.daos.ClienteDAO",4
Public Class,"proj.unipe.daos.DeliveryDAO",2
Public Class,"proj.unipe.daos.FuncionarioDAO",4
Public Class,"proj.unipe.daos.GerenteDAO",2
Public Class,"proj.unipe.daos.ItemCardapioDAO",5
Public Class,"proj.unipe.daos.MesaDAO",3
Public Class,"proj.unipe.daos.PedidoDAO",5
Public Class,"proj.unipe.daos.ReservaDAO",6
Public Class,"proj.unipe.daos.TradicionalDAO",2
Public Class,"proj.unipe.daos.UsuarioDAO",3
Public Abstract Class,"proj.unipe.entities.AbstractEntity",2
Public Class,"proj.unipe.entities.Cardapio",10
Public Class,"proj.unipe.entities.Categoria",4
Public Class,"proj.unipe.entities.Cliente",2
Public Class,"proj.unipe.entities.Delivery",2
Public Class,"proj.unipe.entities.Endereco",1
Public Class,"proj.unipe.entities.Funcionario",6
Public Class,"proj.unipe.entities.Gerente",0
Public Class,"proj.unipe.entities.ItemCardapio",7
Public Class,"proj.unipe.entities.Mesa",5
Public Class,"proj.unipe.entities.Pedido",6
Public Class,"proj.unipe.entities.Reserva",12
Public Class,"proj.unipe.entities.Tradicional",1
Public Class,"proj.unipe.entities.Usuario",6
Public Class,"proj.unipe.services.CardapioControllerProduct",8
Public Class,"proj.unipe.services.CardapioService",11
Public Class,"proj.unipe.services.CategoriaService",8
Public Class,"proj.unipe.services.ClienteService",8
Public Class,"proj.unipe.services.DeliveryService",5
Public Class,"proj.unipe.services.FuncionarioService",8
Public Class,"proj.unipe.services.GerenteService",5
Public Class,"proj.unipe.services.ItemCardapioService",5
Public Class,"proj.unipe.services.MesaService",8
Public Class,"proj.unipe.services.PedidoService",5
Public Class,"proj.unipe.services.ReservaController",9
Public Class,"proj.unipe.services.ReservaService",10
Public Class,"proj.unipe.services.TradicionalService",5
Public Class,"proj.unipe.services.UsuarioService",5
